TAX,GDP,EXP,IE,RS,COM,INV,DEP
1978,5.1928,36.056,11.2209,3.55,15.586,17.591,8.008,2.106
1979,5.3782,40.926,12.818,4.546,18,20.115,8.565,2.81
1980,5.717,45.929,12.2883,5.7,21.4,23.312,9.109,3.958
1981,6.2989,50.088,11.384,7.353,23.5,26.279,9.61,5.237
1982,7.0002,55.9,12.3,7.713,25.7,29.029,12.304,6.754
1983,7.7559,62.162,14.095,8.601,28.494,32.311,14.301,8.925
1984,9.4735,73.627,17.01,12.01,33.764,37.42,18.329,12.147
1985,20.4079,90.767,20.0425,20.667,43.05,46.874,25.432,16.226
1986,20.9073,105.085,22.049,25.804,49.5,53.021,31.206,22.385
1987,21.4036,122.774,22.622,30.842,58.2,61.261,37.917,30.814
1988,23.9047,153.886,24.912,38.218,74.4,78.681,47.538,38.222
1989,27.274,173.113,28.2378,41.56,81.014,88.126,44.104,51.964
1990,28.2186,193.478,30.8359,55.601,83.001,94.509,45.17,71.196
1991,29.9017,225.774,33.8662,72.258,94.156,107.306,55.945,92.449
1992,32.9691,275.652,37.422,91.196,109.937,130.001,80.801,117.573
1993,42.553,369.381,46.423,112.71,142.704,164.121,130.723,152.035
1994,51.2688,502.174,57.9262,203.819,186.229,218.442,170.421,215.188
1995,60.3804,632.169,68.2372,234.999,236.138,283.697,200.193,296.623
1996,69.0982,741.636,79.3755,241.338,283.602,339.559,229.135,385.208
1997,82.3404,816.585,92.3356,269.672,312.529,369.215,249.411,462.798
1998,92.628,865.316,107.9818,268.497,333.781,392.293,284.062,534.075
1999,106.8258,911.25,131.8767,298.962,356.479,419.204,298.547,596.218
2000,125.8151,987.49,158.865,392.732,391.057,458.546,329.177,643.324
2001,153.0138,1089.724,189.0258,421.836,430.554,492.132,372.135,737.624
2002,176.3645,1203.503,220.5315,513.782,481.359,525.713,434.999,869.107
2003,200.1731,1363.988,246.4995,704.835,525.163,568.344,555.666,1036.177
2004,241.6568,1602.804,284.8689,955.391,595.01,638.335,704.774,1195.554
2005,287.7854,1871.3,339.3028,1169.218,671.766,713.61,887.736,1410.51
2006,348.0435,2222.4,404.2273,1409.74,764.1,821.035,1099.982,1615.873
2007,456.2197,2658.3,497.8135,1668.637,892.1,956.098,1373.239,1725.342
2008,542.2379,3149,625.9266,1799.215,1148.301,1105.945,1728.284,2178.854
2009,595.2159,3463.2,762.9993,1506.481,1326.784,1211.299,2245.988,2607.717
2010,732.1079,3943.1,898.7416,2017.221,1569.984,1332.909,2781.219,3033.022
